File	type	entity
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	North
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Gracechurch
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Wickham Every
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Gardiners
austen-pride.tsv	LOCATION	Kympton
austen-pride.tsv	LOCATION	Kent
austen-pride.tsv	LOCATION	Newcastle
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Bingley
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Michaelmas
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Bingley
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Bingley
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Longbourn
